x;y(x)
-10.0;-0.029037174989463267
-9.99;-0.029593925120695277
-9.98;-0.03016155685147863
-9.97;-0.030740281074351165
-9.96;-0.03133031256171074
-9.950000000000001;-0.03193187002891699
-9.940000000000001;-0.03254517619822003
-9.930000000000001;-0.03317045786353451
-9.920000000000002;-0.03380794595607116
-9.910000000000002;-0.03445787561084393
-9.900000000000002;-0.035120486234062755
-9.890000000000002;-0.03579602157144134
-9.880000000000003;-0.03648472977742425
-9.870000000000003;-0.037186863485372555
-9.860000000000003;-0.037902679878703584
-9.850000000000003;-0.03863244076303921
-9.840000000000003;-0.039376412639368454
-9.830000000000004;-0.04013486677824819
-9.820000000000004;-0.040908079295092485
-9.810000000000004;-0.041696331226560135
-9.800000000000004;-0.042499908608088846
-9.790000000000004;-0.04331910255260152
-9.780000000000005;-0.0441542093304398
-9.770000000000005;-0.04500553045054248
-9.760000000000005;-0.04587337274293976
-9.750000000000005;-0.046758048442594756
-9.740000000000006;-0.04765987527464885
-9.730000000000006;-0.04857917654113088
-9.720000000000006;-0.04951628120917327
-9.710000000000006;-0.05047152400082699
-9.700000000000006;-0.051445245484512805
-9.690000000000007;-0.05243779216820228
-9.680000000000007;-0.05344951659439195
-9.670000000000007;-0.05448077743696527
-9.660000000000007;-0.05553193960002628
-9.650000000000007;-0.056603374318789416
-9.640000000000008;-0.05769545926264011
-9.630000000000008;-0.058808578640464175
-9.620000000000008;-0.059943123308361816
-9.610000000000008;-0.061099490879869905
-9.600000000000009;-0.062278085838799645
-9.590000000000009;-0.06347931965487617
-9.580000000000009;-0.06470361090226785
-9.57000000000001;-0.06595138538118206
-9.56000000000001;-0.06722307624270862
-9.55000000000001;-0.06851912411705986
-9.54000000000001;-0.06983997724539331
-9.53000000000001;-0.0711860916154241
-9.52000000000001;-0.07255793110100718
-9.51000000000001;-0.07395596760597632
-9.50000000000001;-0.07538068121233317
-9.49000000000001;-0.07683256033320295
-9.480000000000011;-0.07831210187067121
-9.470000000000011;-0.07981981137885058
-9.460000000000012;-0.08135620323244536
-9.450000000000012;-0.08292180080111396
-9.440000000000012;-0.08451713662993707
-9.430000000000012;-0.08614275262639148
-9.420000000000012;-0.08779920025405837
-9.410000000000013;-0.0894870407336147
-9.400000000000013;-0.0912068452513486
-9.390000000000013;-0.09295919517570252
-9.380000000000013;-0.09474468228224556
-9.370000000000013;-0.09656390898759701
-9.360000000000014;-0.09841748859267559
-9.350000000000014;-0.10030604553591405
-9.340000000000014;-0.10223021565689851
-9.330000000000014;-0.10419064647102493
-9.320000000000014;-0.10618799745576488
-9.310000000000015;-0.10822294034918797
-9.300000000000015;-0.11029615946135192
-9.290000000000015;-0.11240835199934361
-9.280000000000015;-0.11456022840658797
-9.270000000000016;-0.11675251271729538
